index,tag,name,B,H,W,C,P,Q,F,S,input_dtype,output_dtype,mean_microseconds,arithmetic_intensity,tflops,ok
35,resnet_sweep,conv_2d_nchw_fchw_8x28x28x128x3x3x128_f32xf32xf32_stride2,8,28,28,128,3,3,128,2,f32,f32,382.0,105.2153,4.8421,True
36,resnet_sweep,conv_2d_nchw_fchw_8x28x28x512x1x1x256_f32xf32xf32_stride2,8,28,28,512,1,1,256,2,f32,f32,785.0,28.1888,2.0945,True
37,resnet_sweep,conv_2d_nchw_fchw_8x28x28x128x3x3x128_f32xf32xf32_stride1,8,28,28,128,3,3,128,1,f32,f32,380.0,247.0372,4.8676,True
38,resnet_sweep,conv_2d_nchw_fchw_8x14x14x256x3x3x256_f32xf32xf32_stride2,8,14,14,256,3,3,256,2,f32,f32,687.0,163.1445,2.6924,True
39,resnet_sweep,conv_2d_nchw_fchw_8x14x14x1024x1x1x512_f32xf32xf32_stride2,8,14,14,1024,1,1,512,2,f32,f32,1380.0,53.0402,1.1914,True
40,resnet_sweep,conv_2d_nchw_fchw_8x14x14x256x3x3x256_f32xf32xf32_stride1,8,14,14,256,3,3,256,1,f32,f32,687.0,305.1243,2.6924,True
41,resnet_sweep,conv_2d_nchw_fchw_8x7x7x512x3x3x512_f32xf32xf32_stride2,8,7,7,512,3,3,512,2,f32,f32,1310.0,128.1453,1.412,True
42,resnet_sweep,conv_2d_nchw_fchw_8x7x7x2048x1x1x1024_f32xf32xf32_stride2,8,7,7,2048,1,1,1024,2,f32,f32,2510.0,71.9885,0.655,True
43,resnet_sweep,conv_2d_nchw_fchw_8x7x7x512x3x3x512_f32xf32xf32_stride1,8,7,7,512,3,3,512,1,f32,f32,1330.0,159.9093,1.3907,True
44,resnet_sweep,conv_2d_nchw_fchw_16x112x112x64x7x7x3_f32xf32xf32_stride2,16,112,112,64,7,7,3,2,f32,f32,1420.0,17.2343,2.6595,True
45,resnet_sweep,conv_2d_nchw_fchw_16x56x56x64x3x3x64_f32xf32xf32_stride1,16,56,56,64,3,3,64,1,f32,f32,200.0,138.1836,18.4969,True
46,resnet_sweep,conv_2d_nchw_fchw_16x28x28x128x3x3x128_f32xf32xf32_stride2,16,28,28,128,3,3,128,2,f32,f32,703.0,107.0104,5.2623,True
47,resnet_sweep,conv_2d_nchw_fchw_16x28x28x512x1x1x256_f32xf32xf32_stride2,16,28,28,512,1,1,256,2,f32,f32,1550.0,28.316,2.1215,True
48,resnet_sweep,conv_2d_nchw_fchw_16x28x28x128x3x3x128_f32xf32xf32_stride1,16,28,28,128,3,3,128,1,f32,f32,695.0,257.1663,5.3228,True
49,resnet_sweep,conv_2d_nchw_fchw_16x14x14x256x3x3x256_f32xf32xf32_stride2,16,14,14,256,3,3,256,2,f32,f32,1320.0,182.0903,2.8026,True
50,resnet_sweep,conv_2d_nchw_fchw_16x14x14x1024x1x1x512_f32xf32xf32_stride2,16,14,14,1024,1,1,512,2,f32,f32,2700.0,54.8972,1.2179,True
51,resnet_sweep,conv_2d_nchw_fchw_16x14x14x256x3x3x256_f32xf32xf32_stride1,16,14,14,256,3,3,256,1,f32,f32,1300.0,378.8456,2.8457,True
52,resnet_sweep,conv_2d_nchw_fchw_16x7x7x512x3x3x512_f32xf32xf32_stride2,16,7,7,512,3,3,512,2,f32,f32,2590.0,190.3811,1.4283,True
53,resnet_sweep,conv_2d_nchw_fchw_16x7x7x2048x1x1x1024_f32xf32xf32_stride2,16,7,7,2048,1,1,1024,2,f32,f32,4780.0,88.1828,0.6879,True
54,resnet_sweep,conv_2d_nchw_fchw_16x7x7x512x3x3x512_f32xf32xf32_stride1,16,7,7,512,3,3,512,1,f32,f32,2610.0,270.0861,1.4174,True
55,resnet_sweep,conv_2d_nchw_fchw_32x112x112x64x7x7x3_f32xf32xf32_stride2,32,112,112,64,7,7,3,2,f32,f32,4340.0,17.2357,1.7403,True
56,resnet_sweep,conv_2d_nchw_fchw_32x56x56x64x3x3x64_f32xf32xf32_stride1,32,56,56,64,3,3,64,1,f32,f32,394.0,138.5652,18.7786,True
57,resnet_sweep,conv_2d_nchw_fchw_32x28x28x128x3x3x128_f32xf32xf32_stride2,32,28,28,128,3,3,128,2,f32,f32,1360.0,107.9312,5.4403,True
58,resnet_sweep,conv_2d_nchw_fchw_32x28x28x512x1x1x256_f32xf32xf32_stride2,32,28,28,512,1,1,256,2,f32,f32,3050.0,28.3801,2.1563,True
59,resnet_sweep,conv_2d_nchw_fchw_32x28x28x128x3x3x128_f32xf32xf32_stride1,32,28,28,128,3,3,128,1,f32,f32,1330.0,262.5488,5.563,True
60,resnet_sweep,conv_2d_nchw_fchw_32x14x14x256x3x3x256_f32xf32xf32_stride2,32,14,14,256,3,3,256,2,f32,f32,2610.0,193.3151,2.8348,True
61,resnet_sweep,conv_2d_nchw_fchw_32x14x14x1024x1x1x512_f32xf32xf32_stride2,32,14,14,1024,1,1,512,2,f32,f32,5220.0,55.8753,1.2599,True
62,resnet_sweep,conv_2d_nchw_fchw_32x14x14x256x3x3x256_f32xf32xf32_stride1,32,14,14,256,3,3,256,1,f32,f32,2610.0,430.9008,2.8348,True
63,resnet_sweep,conv_2d_nchw_fchw_32x7x7x512x3x3x512_f32xf32xf32_stride2,32,7,7,512,3,3,512,2,f32,f32,4990.0,251.4388,1.4827,True
64,resnet_sweep,conv_2d_nchw_fchw_32x7x7x2048x1x1x1024_f32xf32xf32_stride2,32,7,7,2048,1,1,1024,2,f32,f32,9290.0,99.3584,0.7079,True
65,resnet_sweep,conv_2d_nchw_fchw_32x7x7x512x3x3x512_f32xf32xf32_stride1,32,7,7,512,3,3,512,1,f32,f32,4990.0,412.0292,1.4827,True
66,resnet_sweep,conv_2d_nchw_fchw_48x112x112x64x7x7x3_f32xf32xf32_stride2,48,112,112,64,7,7,3,2,f32,f32,7210.0,17.2362,1.5713,True
67,resnet_sweep,conv_2d_nchw_fchw_48x56x56x64x3x3x64_f32xf32xf32_stride1,48,56,56,64,3,3,64,1,f32,f32,527.0,138.6929,21.0591,True
68,resnet_sweep,conv_2d_nchw_fchw_48x28x28x128x3x3x128_f32xf32xf32_stride2,48,28,28,128,3,3,128,2,f32,f32,2050.0,108.2416,5.4137,True
69,resnet_sweep,conv_2d_nchw_fchw_48x28x28x512x1x1x256_f32xf32xf32_stride2,48,28,28,512,1,1,256,2,f32,f32,4770.0,28.4015,2.0681,True
70,resnet_sweep,conv_2d_nchw_fchw_48x28x28x128x3x3x128_f32xf32xf32_stride1,48,28,28,128,3,3,128,1,f32,f32,2030.0,264.3934,5.4671,True
71,resnet_sweep,conv_2d_nchw_fchw_48x14x14x256x3x3x256_f32xf32xf32_stride2,48,14,14,256,3,3,256,2,f32,f32,3870.0,197.3706,2.8677,True
72,resnet_sweep,conv_2d_nchw_fchw_48x14x14x1024x1x1x512_f32xf32xf32_stride2,48,14,14,1024,1,1,512,2,f32,f32,7750.0,56.2091,1.2729,True
73,resnet_sweep,conv_2d_nchw_fchw_48x14x14x256x3x3x256_f32xf32xf32_stride1,48,14,14,256,3,3,256,1,f32,f32,3820.0,451.584,2.9053,True
74,resnet_sweep,conv_2d_nchw_fchw_48x7x7x512x3x3x512_f32xf32xf32_stride2,48,7,7,512,3,3,512,2,f32,f32,7400.0,281.5362,1.4997,True
75,resnet_sweep,conv_2d_nchw_fchw_48x7x7x2048x1x1x1024_f32xf32xf32_stride2,48,7,7,2048,1,1,1024,2,f32,f32,13800.0,103.7409,0.7149,True
76,resnet_sweep,conv_2d_nchw_fchw_48x7x7x512x3x3x512_f32xf32xf32_stride1,48,7,7,512,3,3,512,1,f32,f32,7420.0,499.5398,1.4957,True
77,resnet_sweep,conv_2d_nhwc_hwcf_q_1x112x112x64x7x7x3_i8xi8xi32_stride2,1,112,112,64,7,7,3,2,i8,i32,369.0,66.5704,0.6396,True
78,resnet_sweep,conv_2d_nhwc_hwcf_q_1x56x56x64x3x3x64_i8xi8xi32_stride1,1,56,56,64,3,3,64,1,i8,i32,81.0,219.1623,2.8545,True
79,resnet_sweep,conv_2d_nhwc_hwcf_q_1x28x28x128x3x3x128_i8xi8xi32_stride2,1,28,28,128,3,3,128,2,i8,i32,111.0,236.0606,2.083,True
80,resnet_sweep,conv_2d_nhwc_hwcf_q_1x28x28x512x1x1x256_i8xi8xi32_stride2,1,28,28,512,1,1,256,2,i8,i32,67.0,80.929,3.0675,True
81,resnet_sweep,conv_2d_nhwc_hwcf_q_1x28x28x128x3x3x128_i8xi8xi32_stride1,1,28,28,128,3,3,128,1,i8,i32,111.0,348.1758,2.083,True
82,resnet_sweep,conv_2d_nhwc_hwcf_q_1x14x14x256x3x3x256_i8xi8xi32_stride2,1,14,14,256,3,3,256,2,i8,i32,172.0,226.4714,1.3443,True
83,resnet_sweep,conv_2d_nhwc_hwcf_q_1x14x14x1024x1x1x512_i8xi8xi32_stride2,1,14,14,1024,1,1,512,2,i8,i32,96.0,118.9005,2.1408,True
84,resnet_sweep,conv_2d_nhwc_hwcf_q_1x14x14x256x3x3x256_i8xi8xi32_stride1,1,14,14,256,3,3,256,1,i8,i32,163.0,270.0861,1.4185,True
85,resnet_sweep,conv_2d_nhwc_hwcf_q_1x7x7x512x3x3x512_i8xi8xi32_stride2,1,7,7,512,3,3,512,2,i8,i32,281.0,89.2458,0.8228,True
86,resnet_sweep,conv_2d_nhwc_hwcf_q_1x7x7x2048x1x1x1024_i8xi8xi32_stride2,1,7,7,2048,1,1,1024,2,i8,i32,137.0,76.1396,1.5002,True
87,resnet_sweep,conv_2d_nhwc_hwcf_q_1x7x7x512x3x3x512_i8xi8xi32_stride1,1,7,7,512,3,3,512,1,i8,i32,272.0,92.443,0.85,True
88,resnet_sweep,conv_2d_nhwc_hwcf_q_2x112x112x64x7x7x3_i8xi8xi32_stride2,2,112,112,64,7,7,3,2,i8,i32,635.0,66.6589,0.7434,True
89,resnet_sweep,conv_2d_nhwc_hwcf_q_2x56x56x64x3x3x64_i8xi8xi32_stride1,2,56,56,64,3,3,64,1,i8,i32,83.0,223.0595,5.5713,True
