index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
206,llm_sweep,attention_128x8192x64x64x8192xf8E4M3FNUZ,128,8192,64,64,8192,f8E4M3FNUZ,10000.0,8192.0,219.9023,True
207,llm_sweep,attention_128x8192x128x128x8192xf8E4M3FNUZ,128,8192,128,128,8192,f8E4M3FNUZ,34600.0,8192.0,127.1112,True
208,llm_sweep,attention_128x16384x64x64x16384xf8E4M3FNUZ,128,16384,64,64,16384,f8E4M3FNUZ,39100.0,16384.0,224.964,True
209,llm_sweep,attention_128x16384x128x128x16384xf8E4M3FNUZ,128,16384,128,128,16384,f8E4M3FNUZ,139000.0,16384.0,126.5625,True
210,llm_sweep,attention_192x1024x64x64x1024xf8E4M3FNUZ,192,1024,64,64,1024,f8E4M3FNUZ,342.0,1024.0,150.7006,True
211,llm_sweep,attention_192x1024x128x128x1024xf8E4M3FNUZ,192,1024,128,128,1024,f8E4M3FNUZ,927.0,1024.0,111.1966,True
212,llm_sweep,attention_192x2048x64x64x2048xf8E4M3FNUZ,192,2048,64,64,2048,f8E4M3FNUZ,1060.0,2048.0,194.4891,True
213,llm_sweep,attention_192x2048x128x128x2048xf8E4M3FNUZ,192,2048,128,128,2048,f8E4M3FNUZ,3430.0,2048.0,120.209,True
214,llm_sweep,attention_192x4096x64x64x4096xf8E4M3FNUZ,192,4096,64,64,4096,f8E4M3FNUZ,3980.0,4096.0,207.1944,True
215,llm_sweep,attention_192x4096x128x128x4096xf8E4M3FNUZ,192,4096,128,128,4096,f8E4M3FNUZ,12800.0,4096.0,128.849,True
216,llm_sweep,attention_192x8192x64x64x8192xf8E4M3FNUZ,192,8192,64,64,8192,f8E4M3FNUZ,15000.0,8192.0,219.9023,True
217,llm_sweep,attention_192x8192x128x128x8192xf8E4M3FNUZ,192,8192,128,128,8192,f8E4M3FNUZ,51800.0,8192.0,127.3566,True
218,llm_sweep,attention_192x16384x64x64x16384xf8E4M3FNUZ,192,16384,64,64,16384,f8E4M3FNUZ,58100.0,16384.0,227.0936,True
219,llm_sweep,attention_192x16384x128x128x16384xf8E4M3FNUZ,192,16384,128,128,16384,f8E4M3FNUZ,209000.0,16384.0,126.2597,True
220,sdxl_unet_sweep,attention_1x4096x64x64x64xf16,1,4096,64,64,64,f16,53.0,63.0154,1.2662,True
221,sdxl_unet_sweep,attention_2x1024x64x64x64xf16,2,1024,64,64,64,f16,56.0,60.2353,0.5992,True
222,sdxl_unet_sweep,attention_4x4096x64x64x64xf16,4,4096,64,64,64,f16,51.0,63.0154,5.2634,True
223,sdxl_unet_sweep,attention_8x1024x64x64x64xf16,8,1024,64,64,64,f16,47.0,60.2353,2.8557,True
224,sdxl_unet_sweep,attention_20x4096x64x64x4096xf16,20,4096,64,64,4096,f16,441.0,2048.0,194.7831,True
225,sdxl_unet_sweep,attention_20x4096x64x64x64xf16,20,4096,64,64,64,f16,60.0,63.0154,22.3696,True
226,sdxl_unet_sweep,attention_40x1024x64x64x1024xf16,40,1024,64,64,1024,f16,112.0,512.0,95.8698,True
227,sdxl_unet_sweep,attention_40x1024x64x64x64xf16,40,1024,64,64,64,f16,55.0,60.2353,12.2016,True
228,sdxl_unet_sweep,attention_1x4096x64x64x64xf8E4M3FNUZ,1,4096,64,64,64,f8E4M3FNUZ,51.0,126.0308,1.3159,True
229,sdxl_unet_sweep,attention_2x1024x64x64x64xf8E4M3FNUZ,2,1024,64,64,64,f8E4M3FNUZ,49.0,120.4706,0.6848,True
230,sdxl_unet_sweep,attention_4x4096x64x64x64xf8E4M3FNUZ,4,4096,64,64,64,f8E4M3FNUZ,58.0,126.0308,4.6282,True
231,sdxl_unet_sweep,attention_8x1024x64x64x64xf8E4M3FNUZ,8,1024,64,64,64,f8E4M3FNUZ,49.0,120.4706,2.7391,True
232,sdxl_unet_sweep,attention_20x4096x64x64x4096xf8E4M3FNUZ,20,4096,64,64,4096,f8E4M3FNUZ,598.0,4096.0,143.6444,True
233,sdxl_unet_sweep,attention_20x4096x64x64x64xf8E4M3FNUZ,20,4096,64,64,64,f8E4M3FNUZ,59.0,126.0308,22.7488,True
234,sdxl_unet_sweep,attention_40x1024x64x64x1024xf8E4M3FNUZ,40,1024,64,64,1024,f8E4M3FNUZ,138.0,1024.0,77.8074,True
235,sdxl_unet_sweep,attention_40x1024x64x64x64xf8E4M3FNUZ,40,1024,64,64,64,f8E4M3FNUZ,55.0,120.4706,12.2016,True
236,bert_attn_sweep,attention_12x384x64x64x384xf16,12,384,64,64,384,f16,67.0,192.0,6.761,True
237,bert_attn_sweep,attention_768x4096x64x64x64xf16,768,4096,64,64,64,f16,398.0,63.0154,129.4965,True
238,bert_attn_sweep,attention_12x384x64x64x384xf8E4M3FNUZ,12,384,64,64,384,f8E4M3FNUZ,63.0,384.0,7.1902,True
239,bert_attn_sweep,attention_768x4096x64x64x64xf8E4M3FNUZ,768,4096,64,64,64,f8E4M3FNUZ,412.0,126.0308,125.0961,True
