mean_microseconds,tflops,index,tag,name,B,M,N,K1,K2,arithmetic_intensity,dtype,ok
193.47578287124634,355.1838670255244,44,llm,attention_16x4096x64x64x4096xf16,16,4096,64,64,4096,2048.0,fp16,True
313.4823143482208,438.4264986615186,45,llm,attention_16x4096x128x128x4096xf16,16,4096,128,128,4096,2048.0,fp16,True
688.8315677642822,399.0495206776921,46,llm,attention_16x8192x64x64x8192xf16,16,8192,64,64,8192,4096.0,fp16,True
1237.3055219650269,444.3169485050913,47,llm,attention_16x8192x128x128x8192xf16,16,8192,128,128,8192,4096.0,fp16,True
2537.8284454345703,433.24899669793194,48,llm,attention_16x16384x64x64x16384xf16,16,16384,64,64,16384,8192.0,fp16,True
5123.080253601074,429.23849455730857,49,llm,attention_16x16384x128x128x16384xf16,16,16384,128,128,16384,8192.0,fp16,True
42.74541884660721,200.95567721128555,50,llm,attention_32x1024x64x64x1024xf16,32,1024,64,64,1024,512.0,fp16,True
76.45618915557861,224.70213822769995,51,llm,attention_32x1024x128x128x1024xf16,32,1024,128,128,1024,512.0,fp16,True
106.72193020582199,321.9557433203694,52,llm,attention_32x2048x64x64x2048xf16,32,2048,64,64,2048,1024.0,fp16,True
175.50377547740936,391.555546591905,53,llm,attention_32x2048x128x128x2048xf16,32,2048,128,128,2048,1024.0,fp16,True
356.4032018184662,385.62771818757244,54,llm,attention_32x4096x64x64x4096xf16,32,4096,64,64,4096,2048.0,fp16,True
653.5446643829346,420.59544194050596,55,llm,attention_32x4096x128x128x4096xf16,32,4096,128,128,4096,2048.0,fp16,True
1292.541742324829,425.3292531188835,56,llm,attention_32x8192x64x64x8192xf16,32,8192,64,64,8192,4096.0,fp16,True
2485.3830337524414,442.39121811174226,57,llm,attention_32x8192x128x128x8192xf16,32,8192,128,128,8192,4096.0,fp16,True
5136.480331420898,428.11869483858936,58,llm,attention_32x16384x64x64x16384xf16,32,16384,64,64,16384,8192.0,fp16,True
8994.718551635742,488.95876906611926,59,llm,attention_32x16384x128x128x16384xf16,32,16384,128,128,16384,8192.0,fp16,True
58.759212493896484,219.2830935121603,60,llm,attention_48x1024x64x64x1024xf16,48,1024,64,64,1024,512.0,fp16,True
85.54627001285553,301.2381927596308,61,llm,attention_48x1024x128x128x1024xf16,48,1024,128,128,1024,512.0,fp16,True
149.7424840927124,344.18827672238615,62,llm,attention_48x2048x64x64x2048xf16,48,2048,64,64,2048,1024.0,fp16,True
330.5686116218567,311.823964768664,63,llm,attention_48x2048x128x128x2048xf16,48,2048,128,128,2048,1024.0,fp16,True
526.9625186920166,391.2202915678133,64,llm,attention_48x4096x64x64x4096xf16,48,4096,64,64,4096,2048.0,fp16,True
981.5463423728943,420.06866371609254,65,llm,attention_48x4096x128x128x4096xf16,48,4096,128,128,4096,2048.0,fp16,True
1961.1139297485352,420.49251107901677,66,llm,attention_48x8192x64x64x8192xf16,48,8192,64,64,8192,4096.0,fp16,True
3789.842128753662,435.18104069585155,67,llm,attention_48x8192x128x128x8192xf16,48,8192,128,128,8192,4096.0,fp16,True
7714.452266693115,427.57862376948157,68,llm,attention_48x16384x64x64x16384xf16,48,16384,64,64,16384,8192.0,fp16,True
14665.362358093262,449.84021571177374,69,llm,attention_48x16384x128x128x16384xf16,48,16384,128,128,16384,8192.0,fp16,True
65.71193784475327,261.4421328524512,70,llm,attention_64x1024x64x64x1024xf16,64,1024,64,64,1024,512.0,fp16,True
98.83451461791992,347.64918410162505,71,llm,attention_64x1024x128x128x1024xf16,64,1024,128,128,1024,512.0,fp16,True
196.80780172348022,349.17049087592846,72,llm,attention_64x2048x64x64x2048xf16,64,2048,64,64,2048,1024.0,fp16,True
362.37674951553345,379.2708932229898,73,llm,attention_64x2048x128x128x2048xf16,64,2048,128,128,2048,1024.0,fp16,True
668.7209010124207,411.05027004217186,74,llm,attention_64x4096x64x64x4096xf16,64,4096,64,64,4096,2048.0,fp16,True
1315.2523040771484,417.98506049661563,75,llm,attention_64x4096x128x128x4096xf16,64,4096,128,128,4096,2048.0,fp16,True
2582.2360515594482,425.7982639162634,76,llm,attention_64x8192x64x64x8192xf16,64,8192,64,64,8192,4096.0,fp16,True
4600.792407989502,477.9661981125878,77,llm,attention_64x8192x128x128x8192xf16,64,8192,128,128,8192,4096.0,fp16,True
9983.141899108887,440.54733024445716,78,llm,attention_64x16384x64x64x16384xf16,64,16384,64,64,16384,8192.0,fp16,True
18292.377471923828,480.8611147298233,79,llm,attention_64x16384x128x128x16384xf16,64,16384,128,128,16384,8192.0,fp16,True
88.94345164299011,289.7324457278468,80,llm,attention_96x1024x64x64x1024xf16,96,1024,64,64,1024,512.0,fp16,True
182.0814460515976,283.0579867945188,81,llm,attention_96x1024x128x128x1024xf16,96,1024,128,128,1024,512.0,fp16,True
284.79284048080444,361.9445451296299,82,llm,attention_96x2048x64x64x2048xf16,96,2048,64,64,2048,1024.0,fp16,True
543.9485311508179,379.00356081821917,83,llm,attention_96x2048x128x128x2048xf16,96,2048,128,128,2048,1024.0,fp16,True
1022.2673416137695,403.3356477622666,84,llm,attention_96x4096x64x64x4096xf16,96,4096,64,64,4096,2048.0,fp16,True
1960.758924484253,420.568643362879,85,llm,attention_96x4096x128x128x4096xf16,96,4096,128,128,4096,2048.0,fp16,True
3865.499973297119,426.66342078829194,86,llm,attention_96x8192x64x64x8192xf16,96,8192,64,64,8192,4096.0,fp16,True
7224.312782287598,456.588049650241,87,llm,attention_96x8192x128x128x8192xf16,96,8192,128,128,8192,4096.0,fp16,True
15157.543182373047,435.23344695648564,88,llm,attention_96x16384x64x64x16384xf16,96,16384,64,64,16384,8192.0,fp16,True
27745.149612426758,475.54760805479617,89,llm,attention_96x16384x128x128x16384xf16,96,16384,128,128,16384,8192.0,fp16,True
115.40208011865616,297.73933305770043,90,llm,attention_128x1024x64x64x1024xf16,128,1024,64,64,1024,512.0,fp16,True
207.9293578863144,330.4943440145304,91,llm,attention_128x1024x128x128x1024xf16,128,1024,128,128,1024,512.0,fp16,True
358.8637113571167,382.9837041818645,92,llm,attention_128x2048x64x64x2048xf16,128,2048,64,64,2048,1024.0,fp16,True
724.1735458374023,379.5746316943176,93,llm,attention_128x2048x128x128x2048xf16,128,2048,128,128,2048,1024.0,fp16,True
1350.010633468628,407.22332125302876,94,llm,attention_128x4096x64x64x4096xf16,128,4096,64,64,4096,2048.0,fp16,True
2421.161651611328,454.12565784042323,95,llm,attention_128x4096x128x128x4096xf16,128,4096,128,128,4096,2048.0,fp16,True
5094.224452972412,431.6698794590606,96,llm,attention_128x8192x64x64x8192xf16,128,8192,64,64,8192,4096.0,fp16,True
9248.093605041504,475.5624995735824,97,llm,attention_128x8192x128x128x8192xf16,128,8192,128,128,8192,4096.0,fp16,True
20031.930923461914,439.1036019351379,98,llm,attention_128x16384x64x64x16384xf16,128,16384,64,64,16384,8192.0,fp16,True
35462.42141723633,496.0796623962459,99,llm,attention_128x16384x128x128x16384xf16,128,16384,128,128,16384,8192.0,fp16,True
172.6783961057663,298.4716601168322,100,llm,attention_192x1024x64x64x1024xf16,192,1024,64,64,1024,512.0,fp16,True
322.14993238449097,319.9727975760471,101,llm,attention_192x1024x128x128x1024xf16,192,1024,128,128,1024,512.0,fp16,True
551.1711835861206,374.03702578690365,102,llm,attention_192x2048x64x64x2048xf16,192,2048,64,64,2048,1024.0,fp16,True
1075.015902519226,383.5448940334405,103,llm,attention_192x2048x128x128x2048xf16,192,2048,128,128,2048,1024.0,fp16,True
2023.6332416534424,407.50156889013135,104,llm,attention_192x4096x64x64x4096xf16,192,4096,64,64,4096,2048.0,fp16,True
3738.063335418701,441.20906835284137,105,llm,attention_192x4096x128x128x4096xf16,192,4096,128,128,4096,2048.0,fp16,True
