index,tag,name,M,N,K,dtype,A,B,mean_microseconds,arithmetic_intensity,tflops,ok
180,llama70bskinny,hipblaslt,8192,2,14336,fp16,T,N,51.01788,1.9992329951539238,9.20779240532927,True
181,llama70bskinnybf16,hipblaslt,1280,4,8192,bf16,T,N,10.81622,3.985598910187798,7.755581894599037,True
182,unet,hipblaslt,8192,5120,640,fp16,T,T,494.20973,531.9480519480519,108.63220196008686,True
183,llama13bskinnybf16,hipblaslt,5120,8,3456,bf16,T,N,12.490290000000002,7.969101285524874,22.66684920846513,True
184,llama70bmemory,hipblaslt,2,3584,8192,bf16,N,T,16.90702,1.9983969332636349,6.946257353454364,True
185,llama70bmatvec,hipblaslt,1280,1,8192,fp16,T,N,10.37692,0.9990974949386541,2.020977322750874,True
186,unet,hipblaslt,2048,1280,1280,fp16,T,T,66.63076,487.6190476190476,100.71754246837348,True
187,llama70bmatvecbf16,hipblaslt,7168,1,8192,bf16,T,N,28.04381,0.9997384891647344,4.18775166427101,True
188,gpt4compute,hipblaslt,8192,8192,65536,fp16,N,N,10398.23222,3855.0588235294117,845.9219640516934,True
189,llama13bskinnybf16,hipblaslt,3840,2,5120,bf16,T,N,16.51521,1.9981787433328997,4.761864971744228,True
190,llama13bskinny,hipblaslt,16000,4,5120,fp16,T,N,33.16103,3.9958792495239286,19.762956699475257,True
191,llama70bskinny,hipblaslt,8192,8,7168,fp16,T,N,25.79982,7.983293888347487,36.41591670019403,True
192,llama70bskinny,hipblaslt,28672,32,8192,fp16,T,N,139.35229999999999,31.840088839533593,107.87325028722167,True
193,llama13bskinny,hipblaslt,5120,16,640,fp16,T,N,6.2214,15.562310030395137,16.854341466550938,True
194,llama13bmatvec,hipblaslt,15360,1,5120,fp16,T,N,42.33878,0.9997396511325176,3.714948801075515,True
195,llama13bskinny,hipblaslt,16000,32,5120,fp16,T,N,43.086769999999994,31.738160178527153,121.68189910731301,True
196,llama13bskinnybf16,hipblaslt,4000,16,5120,bf16,T,N,17.28695,15.886806503661413,37.91067828622168,True
197,llama13bmatvecbf16,hipblaslt,5120,1,5120,bf16,T,N,16.65769,0.9996095275283092,3.1474232021366713,True
198,llama70bskinny,hipblaslt,5120,16,8192,fp16,T,N,32.62675,15.919160513019822,41.137326886680405,True
199,llama70bskinnybf16,hipblaslt,8192,2,14336,bf16,T,N,51.02976,1.9992329951539238,9.205648782200818,True
200,llama70bskinny,hipblaslt,8192,16,28672,fp16,T,N,141.64378,15.959922070693015,53.064051015865296,True
201,gpt4memory,hipblaslt,2048,16,8192,fp16,N,N,12.514040000000001,15.845261121856867,42.901486010912535,True
202,llama70bskinnybf16,hipblaslt,57344,2,8192,bf16,T,N,278.58588000000003,1.999442119944212,6.744951294731806,True
203,llama70bskinnybf16,hipblaslt,2560,2,8192,bf16,T,N,13.915040000000001,1.9979513194478318,6.028446917867285,True
204,llama13bskinnybf16,hipblaslt,4000,4,5120,bf16,T,N,16.66956,3.992887668839879,9.82869373876695,True
205,llama70bskinny,hipblaslt,8192,8,8192,fp16,T,N,30.29966,7.984405458089668,35.437421542023905,True
206,llama70bskinny,hipblaslt,16000,2,8192,fp16,T,N,57.26303,1.9992619911790375,9.155785154924565,True
207,llama70bskinny,hipblaslt,8192,4,3584,fp16,T,N,14.10501,3.9935928685841633,16.652311767237315,True
208,llama13bskinny,hipblaslt,3840,16,5120,fp16,T,N,17.560029999999998,15.884177869700103,35.82827591980197,True
209,llama70bskinny,hipblaslt,14336,16,8192,fp16,T,N,45.31888,15.95104311543811,82.92562358116528,True
210,unet,hipblaslt,2048,1280,5120,fp16,N,N,71.47489999999999,682.6666666666666,375.56604626239425,True
211,llama13bskinnybf16,hipblaslt,1920,32,5120,bf16,T,N,15.992799999999999,31.283095723014256,39.33930268620879,True
212,llama13bskinnybf16,hipblaslt,5120,4,5120,bf16,T,N,17.0495,3.9937597503900157,12.300372444939734,True
213,llama13bskinny,hipblaslt,3456,4,5120,fp16,T,N,16.360870000000002,3.9922603748519943,8.652214704963733,True
214,llama70bskinnybf16,hipblaslt,10240,16,8192,bf16,T,N,47.83594,15.943947061113274,56.115852641340375,True
215,llama13bmatvecbf16,hipblaslt,5120,1,6912,bf16,T,N,20.979419999999998,0.9996601271269172,3.3737291116722963,True
216,llama70bskinny,hipblaslt,8192,8,3584,fp16,T,N,14.164370000000002,7.974412460019469,33.16505061644111,True
217,llama13bskinny,hipblaslt,5120,16,3456,fp16,T,N,12.68026,15.876880670724704,44.65452916580575,True
218,llama70bskinny,hipblaslt,8000,16,8192,fp16,T,N,32.11621,15.936999050627985,65.29886309748255,True
219,llama70bmatvec,hipblaslt,28672,1,8192,fp16,T,N,137.88007000000002,0.9998430770840235,3.4070337214073065,True
220,llama70bskinnybf16,hipblaslt,10240,4,8192,bf16,T,N,46.77925,3.9964874621914332,14.345861466355275,True
221,llama13bskinnybf16,hipblaslt,15360,4,5120,bf16,T,N,42.44564,3.995837669094693,14.822384584141036,True
222,llama13bskinny,hipblaslt,5120,4,3456,fp16,T,N,12.41906,3.9922603748519943,11.398427900340284,True
223,llama70bskinnybf16,hipblaslt,8192,32,3584,bf16,T,N,14.40184,31.594490358126723,130.47278625508963,True
224,unet,hipblaslt,128,1280,2048,bf16,T,N,7.931100000000001,110.10752688172043,84.61482518187891,True
225,llama70bskinny,hipblaslt,8192,2,7168,fp16,T,N,24.897479999999998,1.9989542301390875,9.433927610344501,True
226,llama70bskinnybf16,hipblaslt,28672,32,8192,bf16,T,N,137.79695999999998,31.840088839533593,109.09083579202328,True
227,gpt4memory,hipblaslt,2048,16,65536,fp16,N,N,52.28828,15.872124000968757,82.14015255426264,True
228,llama70bskinnybf16,hipblaslt,8192,4,1024,bf16,T,N,6.50635,3.982498784637822,10.314364274900674,True
