index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,mean_microseconds,arithmetic_intensity,tflops,ok
31,llama13bmatvec,gemm_3840_1_5120_bf16_f32_tA,033d994bb2d269ff67a0cb12e3e9f497,3840,1,5120,bf16,T,N,214.0,0.9995,0.1837,True
32,llama13bmatvec,gemm_5120_1_1280_bf16_f32_tA,f5d6071d7f771b6099baf6c318e9eb09,5120,1,1280,bf16,T,N,95.0,0.999,0.138,True
33,llama13bmatvec,gemm_6912_1_5120_bf16_f32_tA,f3f96ae99e600e2c28028720fac71db6,6912,1,5120,bf16,T,N,443.0,0.9997,0.1598,True
34,llama13bmatvec,gemm_5120_1_3456_bf16_f32_tA,ab22e23343591baf33cdace07b92230f,5120,1,3456,bf16,T,N,198.0,0.9995,0.1787,True
35,llama13bmatvec,gemm_4000_1_5120_bf16_f32_tA,0429882b577daff449b3c03abe982427,4000,1,5120,bf16,T,N,192.0,0.9996,0.2133,True
36,llama13bmatvec,gemm_1920_1_5120_bf16_f32_tA,e1cc1cf73940efaae84dcfcd57727ea1,1920,1,5120,bf16,T,N,113.0,0.9993,0.174,True
37,llama13bmatvec,gemm_5120_1_640_bf16_f32_tA,e58c74182f2cafcb2720fab91ddee40c,5120,1,640,bf16,T,N,69.0,0.9982,0.095,True
38,llama13bmatvec,gemm_3456_1_5120_bf16_f32_tA,78d32d2fc1a5ec44e35b1f2e6b74070c,3456,1,5120,bf16,T,N,173.0,0.9995,0.2046,True
39,llama13bmatvec,gemm_5120_1_1728_bf16_f32_tA,9327b3b5f92c9e3fb5016ef1148ca0c6,5120,1,1728,bf16,T,N,114.0,0.9992,0.1552,True
40,llama70bmatvec,gemm_32000_1_8192_f16_f32_tA,ceea12620772aa196ee8d303561d127b,32000,1,8192,f16,T,N,4030.0,0.9998,0.1301,True
41,llama70bmatvec,gemm_10240_1_8192_f16_f32_tA,036459de8e6e9a1236f1056361227157,10240,1,8192,f16,T,N,1120.0,0.9998,0.1498,True
42,llama70bmatvec,gemm_8192_1_8192_f16_f32_tA,fe6b384c71f6260bb8ba34ac01ca48c1,8192,1,8192,f16,T,N,931.0,0.9998,0.1442,True
43,llama70bmatvec,gemm_57344_1_8192_f16_f32_tA,fd8a332df2177afd2691ad39137fa1b3,57344,1,8192,f16,T,N,7100.0,0.9999,0.1323,True
44,llama70bmatvec,gemm_8192_1_28672_f16_f32_tA,63f8b1e35c6616946cc4ad0b054f77b3,8192,1,28672,f16,T,N,4110.0,0.9998,0.1143,True
45,llama70bmatvec,gemm_16000_1_8192_f16_f32_tA,9bcd10a20fc6e0e638768841f909a8ef,16000,1,8192,f16,T,N,1990.0,0.9998,0.1317,True
46,llama70bmatvec,gemm_5120_1_8192_f16_f32_tA,ada9b766f0890ff1f42c6bb0c411ab30,5120,1,8192,f16,T,N,538.0,0.9997,0.1559,True
47,llama70bmatvec,gemm_8192_1_4096_f16_f32_tA,c8451e697bcfa757c022880ddddd8246,8192,1,4096,f16,T,N,383.0,0.9996,0.1752,True
48,llama70bmatvec,gemm_28672_1_8192_f16_f32_tA,cfd48c4598930804be2d28c7f202ed49,28672,1,8192,f16,T,N,3510.0,0.9998,0.1338,True
49,llama70bmatvec,gemm_8192_1_14336_f16_f32_tA,617dd9eaaea61f23738ab72de9a6f6e7,8192,1,14336,f16,T,N,1720.0,0.9998,0.1366,True
50,llama70bmatvec,gemm_8000_1_8192_f16_f32_tA,d4f46398ae8d500ded2fcd0bc77bcf79,8000,1,8192,f16,T,N,763.0,0.9998,0.1718,True
51,llama70bmatvec,gemm_2560_1_8192_f16_f32_tA,f53cadce2da0c2771614640a466c22a6,2560,1,8192,f16,T,N,253.0,0.9995,0.1658,True
52,llama70bmatvec,gemm_8192_1_2048_f16_f32_tA,cfc4a1c9b3c10555e16683f7be98b7fc,8192,1,2048,f16,T,N,229.0,0.9994,0.1465,True
53,llama70bmatvec,gemm_14336_1_8192_f16_f32_tA,714abf29b8b3215cde08933355db5e57,14336,1,8192,f16,T,N,1660.0,0.9998,0.1415,True
54,llama70bmatvec,gemm_8192_1_7168_f16_f32_tA,aad189e2a8db3aa153418c893984a62d,8192,1,7168,f16,T,N,686.0,0.9997,0.1712,True
55,llama70bmatvec,gemm_4000_1_8192_f16_f32_tA,81b88fdb9618e2e01887dcc73aff88df,4000,1,8192,f16,T,N,308.0,0.9996,0.2128,True
56,llama70bmatvec,gemm_1280_1_8192_f16_f32_tA,df02778efce57487a960b9d0bfbb4ef4,1280,1,8192,f16,T,N,151.0,0.9991,0.1389,True
57,llama70bmatvec,gemm_8192_1_1024_f16_f32_tA,4032c3730a7e0a507df3038a62f8cfcc,8192,1,1024,f16,T,N,118.0,0.9989,0.1422,True
58,llama70bmatvec,gemm_7168_1_8192_f16_f32_tA,0c6adb14502035de5068b2f5b4e3b33f,7168,1,8192,f16,T,N,741.0,0.9997,0.1585,True
59,llama70bmatvec,gemm_8192_1_3584_f16_f32_tA,01c9f7849f3b2ce68286ae114bfb5c7f,8192,1,3584,f16,T,N,357.0,0.9996,0.1645,True
60,llama70bmatvec,gemm_32000_1_8192_bf16_f32_tA,5e68a2964f11c6c609dc95851f96b711,32000,1,8192,bf16,T,N,4020.0,0.9998,0.1304,True
61,llama70bmatvec,gemm_10240_1_8192_bf16_f32_tA,4d47c05643e595cfd06cdf088e20a6fc,10240,1,8192,bf16,T,N,1120.0,0.9998,0.1498,True
62,llama70bmatvec,gemm_8192_1_8192_bf16_f32_tA,18685d97b99299d24ffda09c15c5abf4,8192,1,8192,bf16,T,N,917.0,0.9998,0.1464,True
63,llama70bmatvec,gemm_57344_1_8192_bf16_f32_tA,9f737764260e7343f9b7ff14dd3369dc,57344,1,8192,bf16,T,N,7090.0,0.9999,0.1325,True
64,llama70bmatvec,gemm_8192_1_28672_bf16_f32_tA,fb2a3eceddd0605cd64dbe621baaffcb,8192,1,28672,bf16,T,N,4110.0,0.9998,0.1143,True
65,llama70bmatvec,gemm_16000_1_8192_bf16_f32_tA,64ecafa62ba4e6fc86f83dcf905fe1df,16000,1,8192,bf16,T,N,1930.0,0.9998,0.1358,True
66,llama70bmatvec,gemm_5120_1_8192_bf16_f32_tA,56d84899f8efe412c34048b597ae203e,5120,1,8192,bf16,T,N,527.0,0.9997,0.1592,True
67,llama70bmatvec,gemm_8192_1_4096_bf16_f32_tA,b2cc6905ff3f4d4a447584f4140aa9e4,8192,1,4096,bf16,T,N,380.0,0.9996,0.1766,True
68,llama70bmatvec,gemm_28672_1_8192_bf16_f32_tA,b59c966eaafec7032b937b60dac460f9,28672,1,8192,bf16,T,N,3470.0,0.9998,0.1354,True
69,llama70bmatvec,gemm_8192_1_14336_bf16_f32_tA,60fc0897658514e382df29d620a9f970,8192,1,14336,bf16,T,N,1800.0,0.9998,0.1305,True
70,llama70bmatvec,gemm_8000_1_8192_bf16_f32_tA,c7ab80c317404120cd24cc9c5a8634fd,8000,1,8192,bf16,T,N,755.0,0.9998,0.1736,True
71,llama70bmatvec,gemm_2560_1_8192_bf16_f32_tA,6c87cafee8f2cc04364dc0b8e57cdc16,2560,1,8192,bf16,T,N,252.0,0.9995,0.1664,True
72,llama70bmatvec,gemm_8192_1_2048_bf16_f32_tA,b5283b6bfebf36883688ad72d3376ced,8192,1,2048,bf16,T,N,221.0,0.9994,0.1518,True
73,llama70bmatvec,gemm_14336_1_8192_bf16_f32_tA,7799f48443b99e4e8a2b682ca7e3183f,14336,1,8192,bf16,T,N,1660.0,0.9998,0.1415,True
74,llama70bmatvec,gemm_8192_1_7168_bf16_f32_tA,e4a6474fe98656a6ff48b1bc509d05d2,8192,1,7168,bf16,T,N,721.0,0.9997,0.1629,True
75,llama70bmatvec,gemm_4000_1_8192_bf16_f32_tA,ee8cd82a2c500a1b7bb44e908f50654b,4000,1,8192,bf16,T,N,308.0,0.9996,0.2128,True
76,llama70bmatvec,gemm_1280_1_8192_bf16_f32_tA,e1cf4712d5583e84da8a5525e4eae7dc,1280,1,8192,bf16,T,N,156.0,0.9991,0.1344,True
77,llama70bmatvec,gemm_8192_1_1024_bf16_f32_tA,10ba29e4b9b30572f4f2933e8565eedf,8192,1,1024,bf16,T,N,126.0,0.9989,0.1332,True
78,llama70bmatvec,gemm_7168_1_8192_bf16_f32_tA,d03193f512b0bc3d104a7f2806f5fe31,7168,1,8192,bf16,T,N,739.0,0.9997,0.1589,True
79,llama70bmatvec,gemm_8192_1_3584_bf16_f32_tA,d8577f358113289429813dbbc313e07d,8192,1,3584,bf16,T,N,338.0,0.9996,0.1737,True
80,llama13bskinny,gemm_32000_2_5120_f16_f32_tA,f4f5671f9a68e36c97e137c770ce657e,32000,2,5120,f16,T,N,5380.0,1.9991,0.1218,True
81,llama13bskinny,gemm_32000_4_5120_f16_f32_tA,9f373fc0201cb8b88faa9f8604f8208e,32000,4,5120,f16,T,N,9890.0,3.9964,0.1325,True
82,llama13bskinny,gemm_32000_8_5120_f16_f32_tA,b864cd7684b81f9f1a77f7e45cb11fc5,32000,8,5120,f16,T,N,3320.0,7.9855,0.7896,True
83,llama13bskinny,gemm_32000_16_5120_f16_f32_tA,af067b39235b978834609b35b050665c,32000,16,5120,f16,T,N,143.0,15.9422,36.6635,True
84,llama13bskinny,gemm_32000_32_5120_f16_f32_tA,d2fb2e5fe77e83ce222519bf39faff7c,32000,32,5120,f16,T,N,147.0,31.7697,71.3317,True
85,llama13bskinny,gemm_15360_2_5120_f16_f32_tA,43168080bd585674062322d0425662a5,15360,2,5120,f16,T,N,2260.0,1.999,0.1392,True
86,llama13bskinny,gemm_15360_4_5120_f16_f32_tA,cdf035b83e91c69dd80a96e9fb5e67a0,15360,4,5120,f16,T,N,3790.0,3.9958,0.166,True
87,llama13bskinny,gemm_15360_8_5120_f16_f32_tA,8ca1e4d15af4ac38cbfb974b6942a9e9,15360,8,5120,f16,T,N,1940.0,7.9834,0.6486,True
88,llama13bskinny,gemm_15360_16_5120_f16_f32_tA,799537b85bfa0a946c15fbcddd58c90c,15360,16,5120,f16,T,N,104.0,15.9336,24.1979,True
89,llama13bskinny,gemm_15360_32_5120_f16_f32_tA,fd4fe32a309851c213cb89521485b8b0,15360,32,5120,f16,T,N,85.0,31.7355,59.2137,True
90,llama13bskinny,gemm_5120_2_5120_f16_f32_tA,9b0cf698893a67cff8557b11e5d39532,5120,2,5120,f16,T,N,523.0,1.9984,0.2005,True
91,llama13bskinny,gemm_5120_4_5120_f16_f32_tA,bb3152da852b1294f4abcd77aa20697d,5120,4,5120,f16,T,N,1010.0,3.9938,0.2076,True
92,llama13bskinny,gemm_5120_8_5120_f16_f32_tA,5da116e92650bf1a412e287239ed56f4,5120,8,5120,f16,T,N,1950.0,7.9751,0.2151,True
93,llama13bskinny,gemm_5120_16_5120_f16_f32_tA,ee90e70a5f55676396e25ef0bb5f69ef,5120,16,5120,f16,T,N,105.0,15.9006,7.9892,True
94,llama13bskinny,gemm_5120_32_5120_f16_f32_tA,4b85440e17abb92c8205710d8fe3617b,5120,32,5120,f16,T,N,106.0,31.6049,15.8276,True
95,llama13bskinny,gemm_27648_2_5120_f16_f32_tA,c6eaa47587d4cc6d1793b4b65a0092bf,27648,2,5120,f16,T,N,4170.0,1.9991,0.1358,True
96,llama13bskinny,gemm_27648_4_5120_f16_f32_tA,c7551216582b66bfe8eeee26a3a96857,27648,4,5120,f16,T,N,7060.0,3.9963,0.1604,True
97,llama13bskinny,gemm_27648_8_5120_f16_f32_tA,3f378d734d4e0c050b3328f869bb46f7,27648,8,5120,f16,T,N,3320.0,7.9852,0.6822,True
