index,tag,name,M,N,K,dtype,A,B,mean_microseconds,arithmetic_intensity,tflops,ok
466,llama13bskinny,rocblas,5120,2,1728,fp16,T,N,9.42709,1.9969087205858986,3.754015289978138,True
467,llama13bmatvec,rocblas,5120,1,6912,fp16,T,N,20.267049999999998,0.9996601271269172,3.4923128921081266,True
468,llama70bskinny,rocblas,8192,2,4096,fp16,T,N,26.02541,1.9985362283483776,5.157180155855373,True
469,llama13bskinny,rocblas,5120,4,2560,fp16,T,N,9.783280000000001,3.990646921278254,10.718041393070624,True
470,llama70bskinny,rocblas,8192,4,4096,fp16,T,N,25.27741,3.994149195514383,10.619579142008615,True
471,llama70bskinny,rocblas,8192,8,28672,fp16,T,N,125.05729,7.989967953183782,30.050998098551474,True
472,compute,rocblas,4096,4096,8192,bf16,T,N,468.80159999999995,1638.4,586.3416569909318,True
473,llama13bskinnybf16,rocblas,8000,8,5120,bf16,T,N,24.24447,7.979552396982732,27.031318894576785,True
474,llama70bmatvecbf16,rocblas,8192,1,8192,bf16,T,N,47.895300000000006,0.9997559189650964,2.8023152167331653,True
475,llama70bmatvec,rocblas,8192,1,4096,fp16,T,N,26.16788,0.999633923123856,2.5645510450216067,True
476,llama70bskinnybf16,rocblas,4000,2,8192,bf16,T,N,20.492630000000002,1.9985128254170237,6.396055557534586,True
477,llama13bskinny,rocblas,5120,8,13824,fp16,T,N,39.3943,7.982906970029451,28.746851194208297,True
478,llama13bskinnybf16,rocblas,5120,16,3456,bf16,T,N,15.909690000000001,15.876880670724704,35.59032514147039,True
479,llama70bskinnybf16,rocblas,28672,4,8192,bf16,T,N,130.87502,3.9974904147786687,14.357577114410374,True
480,llama70bskinny,rocblas,8192,2,7168,fp16,T,N,33.75466,1.9989542301390875,6.958476962884532,True
481,llama13bskinny,rocblas,5120,8,5120,fp16,T,N,16.24213,7.975077881619938,25.8236081105126,True
482,llama70bmatvec,rocblas,32000,1,8192,fp16,T,N,140.52769,0.9998467031910147,3.730851905414513,True
483,llama13bmatvec,rocblas,5120,1,2560,fp16,T,N,9.3796,0.999414405621706,2.7948313360910917,True
484,gpt4memory,rocblas,16,2048,65536,fp16,N,N,77.36384,15.872124000968757,55.51646991669493,True
485,unet,rocblas,8192,5120,640,fp16,N,N,113.08941,531.9480519480519,474.731375820247,True
486,llama13bskinny,rocblas,5120,2,3456,fp16,T,N,15.790959999999998,1.9980632199690693,4.482240471763592,True
487,llama13bskinnybf16,rocblas,5120,16,640,bf16,T,N,6.257029999999999,15.562310030395137,16.758366189709818,True
488,llama70bskinnybf16,rocblas,8192,4,14336,bf16,T,N,78.49177,3.9969331567575104,11.969714735697767,True
489,gpt4compute,rocblas,8192,8192,8192,fp16,N,N,1762.40198,2730.6666666666665,623.8710806350773,True
490,llama13bskinnybf16,rocblas,5120,16,5120,bf16,T,N,16.49147,15.900621118012422,50.8663448437283,True
491,llama13bskinnybf16,rocblas,16000,32,5120,bf16,T,N,52.72757,31.738160178527153,99.43337043599772,True
492,llama70bskinnybf16,rocblas,8192,4,28672,bf16,T,N,125.59158000000001,3.9974904147786687,14.961577774561002,True
493,gpt4compute,rocblas,2048,2048,1024,fp16,N,N,23.270889999999998,512.0,369.12789291685885,True
494,llama70bskinny,rocblas,28672,16,8192,fp16,T,N,132.28789,15.959922070693015,56.816937423372615,True
495,llama70bskinny,rocblas,14336,32,8192,fp16,T,N,90.56652,31.804769828064337,82.99085322037327,True
496,llama70bmatvec,rocblas,57344,1,8192,fp16,T,N,249.236,0.9998605105314549,3.769616331509092,True
497,llama70bskinny,rocblas,8192,32,14336,fp16,T,N,85.37805,31.804769828064337,88.03425198865517,True
498,llama13bskinnybf16,rocblas,8000,16,5120,bf16,T,N,24.35132,15.918418107200598,53.82541890952934,True
499,llama70bskinnybf16,rocblas,8192,16,2048,bf16,T,N,14.62742,15.845261121856867,36.70304893139049,True
500,llama13bskinnybf16,rocblas,5120,32,3456,bf16,T,N,16.53895,31.511283337132436,68.47242902360792,True
501,llama70bskinny,rocblas,8192,8,2048,fp16,T,N,14.86488,7.961127308066083,18.058366835117404,True
502,llama70bskinny,rocblas,16000,32,8192,fp16,T,N,98.11768,31.812109726925346,85.49537657229565,True
